driverId,driverRef,number,code,forename,surname,dob,nationality
78,larini,\N,\N,Nicola,Larini,1964-03-19,Italian
79,katayama,\N,\N,Ukyo,Katayama,1963-05-29,Japanese
80,sospiri,\N,\N,Vincenzo,Sospiri,1966-10-07,Italian
81,morbidelli,\N,\N,Gianni,Morbidelli,1968-01-13,Italian
82,fontana,\N,\N,Norberto,Fontana,1975-01-20,Argentine
83,lamy,\N,\N,Pedro,Lamy,1972-03-20,Portuguese
84,brundle,\N,\N,Martin,Brundle,1959-06-01,British
85,montermini,\N,\N,Andrea,Montermini,1964-05-30,Italian
86,lavaggi,\N,\N,Giovanni,Lavaggi,1958-02-18,Italian
87,blundell,\N,\N,Mark,Blundell,1966-04-08,British
88,suzuki,\N,\N,Aguri,Suzuki,1960-09-08,Japanese
89,inoue,\N,\N,Taki,Inoue,1963-09-05,Japanese
90,moreno,\N,\N,Roberto,Moreno,1959-02-11,Brazilian
91,wendlinger,\N,\N,Karl,Wendlinger,1968-12-20,Austrian
92,gachot,\N,\N,Bertrand,Gachot,1962-12-23,Belgian
93,schiattarella,\N,\N,Domenico,Schiattarella,1967-11-17,Italian
94,martini,\N,\N,Pierluigi,Martini,1961-04-23,Italian
95,mansell,\N,\N,Nigel,Mansell,1953-08-08,British
96,boullion,\N,\N,Jean-Christophe,Boullion,1969-12-27,French
97,papis,\N,\N,Massimiliano,Papis,1969-10-03,Italian
98,deletraz,\N,\N,Jean-Denis,Délétraz,1963-10-01,Swiss
99,tarquini,\N,\N,Gabriele,Tarquini,1962-03-02,Italian
100,comas,\N,\N,Érik,Comas,1963-09-28,French
